customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,gender_encoded,Contract_Month-to-month,Contract_One year,Contract_Two year,InternetService_DSL,InternetService_Fiber optic,InternetService_No
0280-XJGEX,Male,0,No,No,0.6754621043330061,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Bank transfer (automatic),1.2931128075977727,1.2145888969272465,1,1,True,False,False,False,True,False
5129-JLPIS,Male,0,No,No,-0.3023929662984406,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Electronic check,1.3529456056630036,0.17768805707524432,0,1,True,False,False,False,True,False
3655-SNQYZ,Female,0,Yes,Yes,1.4903413298592119,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Credit card (automatic),1.6105590417771916,2.475877681529266,0,0,False,False,True,False,True,False
8191-XWSZG,Female,0,No,No,0.797693988161937,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,-1.4675060142452372,-0.5560508161330804,0,0,False,True,False,False,False,True
9959-WOFKT,Male,0,No,Yes,1.5718292524118322,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Bank transfer (automatic),1.3928341377064908,2.2495926306793175,0,1,False,False,True,False,True,False
4190-MFLUW,Female,0,Yes,Yes,-0.9135523854430948,Yes,No,No,No,Yes,Yes,No,No,No,Credit card (automatic),-0.3190486958265014,-0.7742621363716935,1,0,True,False,False,True,False,False
4183-MYFRB,Female,0,No,No,-0.46536881140368175,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Electronic check,0.8393807556031058,-0.18547540482207542,0,0,True,False,False,False,True,False
8779-QRDMV,Male,1,No,No,-1.2802480369298874,No,No phone service,No,No,Yes,No,No,Yes,Yes,Electronic check,-0.8359375902233565,-0.9898704505662146,1,1,True,False,False,True,False,False
1680-VDCWW,Male,0,Yes,No,-0.8320644628904743,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Bank transfer (automatic),-1.495760391109374,-0.9181333687409043,0,1,False,True,False,False,False,True
1066-JKSGK,Male,0,No,No,-1.2802480369298874,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,-1.4841262359300234,-0.9984736061356706,1,1,True,False,False,False,False,True
3638-WEABW,Female,0,Yes,No,1.0421577558197987,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Credit card (automatic),-0.16281861198951006,0.5390426503656527,0,0,False,False,True,True,False,False
6322-HRPFA,Male,0,Yes,Yes,0.6754621043330061,Yes,No,Yes,Yes,No,Yes,No,No,No,Credit card (automatic),-0.17279074500038175,0.3030955940300073,0,1,True,False,False,True,False,False
6865-JZNKO,Female,0,No,No,-0.09867315991688919,Yes,No,Yes,Yes,No,No,No,No,Yes,Bank transfer (automatic),-0.3157246514895444,-0.33208199947490835,0,0,True,False,False,True,False,False
6467-CHFZW,Male,0,Yes,Yes,0.5939741817803856,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Electronic check,1.1485168789401314,1.0879019163236925,1,1,True,False,False,False,True,False
8665-UTDHZ,Male,0,Yes,Yes,-1.2802480369298874,No,No phone service,No,Yes,No,No,No,No,No,Electronic check,-1.150059780065818,-0.9940396721114126,1,1,True,False,False,True,False,False
5248-YGIJN,Male,0,Yes,No,1.6125732136881425,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),0.8460288442770204,1.802757966025724,0,1,False,False,True,True,False,False
8773-HHUOZ,Female,0,No,Yes,-0.6283446565089229,Yes,No,No,No,No,No,Yes,Yes,Yes,Mailed check,-0.0032644838155611237,-0.5251015154562937,1,0,True,False,False,True,False,False
3841-NFECX,Female,1,Yes,No,1.5718292524118322,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Credit card (automatic),1.0487955488314133,1.9781299834030968,0,0,False,False,True,False,True,False
4929-XIHVW,Male,1,Yes,No,-1.2395040756535771,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Credit card (automatic),1.0205411719672768,-0.9272218305219706,0,1,True,False,False,False,True,False
6827-IEAUQ,Female,0,Yes,Yes,-0.22090504374582004,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Mailed check,0.044934159070319335,-0.18037968960016687,0,0,False,True,False,True,False,False
7310-EGVHZ,Male,0,No,No,-1.2802480369298874,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Bank transfer (automatic),-1.4824642137615447,-0.9984515467624158,0,1,True,False,False,False,False,True
3413-BMNZE,Male,1,No,No,-1.2802480369298874,Yes,No,No,No,No,No,No,No,No,Bank transfer (automatic),-0.6497911073537496,-0.9873998007616529,0,1,True,False,False,True,False,False
6234-RAAPL,Female,0,Yes,Yes,1.6125732136881425,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Bank transfer (automatic),1.1667991227933967,2.1919956071104716,0,0,False,False,True,False,True,False
6047-YHPVI,Male,0,No,No,-1.1172721918246462,Yes,No,No,No,No,No,No,No,Yes,Electronic check,0.1629377330323022,-0.8675512258671538,1,1,True,False,False,False,True,False
6572-ADKRS,Female,0,No,No,0.5532302205040753,Yes,No,No,No,Yes,No,No,No,Yes,Credit card (automatic),0.3324639942171226,0.5581019488579861,0,0,True,False,False,False,True,False
5380-WJKOV,Male,0,No,No,0.06430268518835193,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Electronic check,1.3811999825271402,0.5585210769498313,1,1,True,False,False,False,True,False
8168-UQWWF,Female,0,No,No,-0.8728084241667845,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Bank transfer (automatic),1.0986562138857725,-0.5196749096355598,1,0,True,False,False,False,True,False
8865-TNMNX,Male,0,Yes,Yes,-0.9135523854430948,Yes,No,No,Yes,No,No,No,No,No,Mailed check,-0.5068572008645872,-0.7974906564092247,0,1,False,True,False,True,False,False
9489-DEDVP,Female,0,Yes,Yes,1.5310852911355222,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Credit card (automatic),0.14631751134751586,1.142256212024051,0,0,False,False,True,True,False,False
9867-JCZSP,Female,0,Yes,Yes,-0.6283446565089229,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,-1.4641819699082799,-0.8228368762792375,0,0,False,True,False,False,False,True
4671-VJLCL,Female,0,No,No,1.24587756220135,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Credit card (automatic),0.5003282332334644,1.1374472686544572,0,0,False,False,True,True,False,False
4080-IIARD,Female,0,Yes,No,-0.791320501614164,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Electronic check,0.3790006149345245,-0.5743600959347432,0,0,True,False,False,True,False,False
3714-NTNFO,Female,0,No,No,0.6754621043330061,Yes,Yes,No,No,No,No,No,Yes,Yes,Electronic check,0.6548962949019775,0.7162235363499369,0,0,True,False,False,False,True,False
5948-UJZLF,Male,0,No,No,-1.2395040756535771,Yes,No,No,Yes,No,No,No,No,No,Mailed check,-0.5168293338754589,-0.9645683494427119,0,1,True,False,False,True,False,False
7760-OYPDY,Female,0,No,No,-1.2395040756535771,Yes,No,No,No,No,No,Yes,No,Yes,Electronic check,0.526920587929123,-0.9437663604632323,1,0,True,False,False,False,True,False
7639-LIAYI,Male,0,No,No,0.797693988161937,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Credit card (automatic),0.4970041888965074,0.8534769567426433,0,1,False,False,True,True,False,False
2954-PIBKO,Female,0,Yes,Yes,1.4903413298592119,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Credit card (automatic),-0.021546727668825993,0.8694920617257846,0,0,False,False,True,True,False,False
8012-SOUDQ,Female,1,No,No,0.4309983366751445,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Electronic check,0.8460288442770204,0.6862448480963709,0,0,True,False,False,False,True,False
9420-LOJKX,Female,0,No,No,-0.7098325790615434,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Credit card (automatic),1.1402067680977384,-0.3780537333383605,1,0,True,False,False,False,True,False
6575-SUVOI,Female,1,Yes,No,-0.3023929662984406,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Credit card (automatic),0.15628964435838757,-0.23411632284938455,0,0,True,False,False,True,False,False
7495-OOKFY,Female,1,Yes,No,-0.9950403079957154,Yes,Yes,No,Yes,No,No,No,No,Yes,Credit card (automatic),0.526920587929123,-0.727959511909416,1,0,True,False,False,False,True,False
4667-QONEA,Female,1,Yes,Yes,1.1236456783724194,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Credit card (automatic),0.33412601638560113,0.9587222265423222,0,0,False,True,False,True,False,False
1658-BYGOY,Male,1,No,No,-0.5876006952326126,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Electronic check,1.0188791497987983,-0.23416044159589464,1,1,True,False,False,False,True,False
8769-KKTPH,Female,0,Yes,Yes,1.24587756220135,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Credit card (automatic),1.1584890119510036,1.7770587961836308,0,0,False,True,False,False,True,False
5067-XJQFU,Male,1,Yes,Yes,1.368109446030281,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Electronic check,1.451004913603243,2.114633385105133,0,1,False,True,False,False,True,False
3957-SQXML,Female,0,Yes,Yes,0.06430268518835193,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Credit card (automatic),-1.3245721077560746,-0.6128095835182352,0,0,False,False,True,False,False,True
5954-BDFSG,Female,0,No,No,1.6125732136881425,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),1.419426492402149,2.457590461100858,0,0,False,False,True,False,True,False
0434-CSFON,Female,0,Yes,No,0.5939741817803856,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Electronic check,1.1867433888151402,1.0693499834162248,0,0,True,False,False,False,True,False
1215-FIGMP,Male,0,No,No,1.1236456783724194,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Bank transfer (automatic),0.8343946890976701,1.3974169824648146,0,1,True,False,False,False,True,False
0526-SXDJP,Male,0,Yes,No,1.6125732136881425,No,No phone service,Yes,Yes,Yes,No,No,No,No,Bank transfer (automatic),-0.7544985039679034,0.2994337380696746,0,1,False,False,True,True,False,False
0557-ASKVU,Female,0,Yes,Yes,-0.5876006952326126,Yes,No,No,No,Yes,Yes,No,No,Yes,Credit card (automatic),-0.3456410505221597,-0.5851030107099358,0,0,False,True,False,True,False,False
5698-BQJOH,Female,0,No,No,-0.9542963467194051,Yes,Yes,No,No,No,No,Yes,Yes,No,Electronic check,0.9839766842607471,-0.6291555791002016,1,0,True,False,False,False,True,False
5122-CYFXA,Female,0,No,No,-1.1987601143772668,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Electronic check,0.3490842159019089,-0.8996696733264564,0,0,True,False,False,True,False,False
8627-ZYGSZ,Male,0,Yes,No,0.5939741817803856,Yes,Yes,No,Yes,No,No,No,No,Yes,Electronic check,0.4687498120323708,0.6031251296714726,0,1,False,True,False,False,True,False
3410-YOQBQ,Female,0,No,No,-0.05792919864057891,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Mailed check,0.4787219450432425,0.09436980429105073,0,0,False,False,True,True,False,False
3170-NMYVV,Female,0,Yes,Yes,0.7162060656093164,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Bank transfer (automatic),-1.4841262359300234,-0.5966621222955638,0,0,False,False,True,False,False,True
7410-OIEDU,Male,0,No,No,-0.9135523854430948,Yes,No,Yes,No,Yes,No,No,No,Yes,Mailed check,0.5003282332334644,-0.6158758364006823,0,1,True,False,False,False,True,False
2273-QCKXA,Male,0,No,No,-1.2802480369298874,Yes,No,No,No,No,Yes,No,No,No,Mailed check,-0.5234774225493735,-0.9857232883942716,0,1,True,False,False,True,False,False
0731-EBJQB,Female,0,Yes,Yes,0.797693988161937,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Electronic check,-1.4758161250876303,-0.5261824247457894,0,0,False,True,False,False,False,True
1891-QRQSA,Male,1,Yes,Yes,1.2866215234776603,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),1.5557123102173966,2.124626281189655,0,1,False,False,True,False,True,False
8028-PNXHQ,Male,0,Yes,Yes,1.2051336009250397,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Bank transfer (automatic),-1.3478404181147754,-0.3788478707755411,0,1,False,False,True,False,False,True
5630-AHZIL,Female,0,No,Yes,-1.1987601143772668,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Bank transfer (automatic),-0.009912572489475751,-0.929096877248647,0,0,True,False,False,True,False,False
2673-CXQEU,Female,1,No,No,0.9606698332671781,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Electronic check,1.5191478225108668,1.7013069084259078,0,0,False,True,False,False,True,False
6416-JNVRK,Female,0,No,No,0.5532302205040753,Yes,No,No,No,No,No,No,Yes,No,Credit card (automatic),-0.30409049631019386,0.17892338197752508,0,0,False,True,False,True,False,False
5590-ZSKRV,Female,0,Yes,Yes,-0.9950403079957154,Yes,No,Yes,Yes,No,No,No,No,No,Mailed check,-0.3373309396797665,-0.7946008785128177,0,0,True,False,False,True,False,False
0191-ZHSKZ,Male,1,No,No,-0.09867315991688919,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Electronic check,0.33080197204864403,-0.07588443849115852,0,1,True,False,False,True,False,False
3887-PBQAO,Female,0,Yes,Yes,0.512486259227765,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Credit card (automatic),-1.2929936865549807,-0.47061486351640547,0,0,False,True,False,False,False,True
5919-TMRGD,Female,0,No,Yes,-1.2802480369298874,Yes,No,No,No,No,No,Yes,No,Yes,Electronic check,0.48370801154867815,-0.9723553082017324,1,0,True,False,False,False,True,False
8108-UXRQN,Female,0,Yes,Yes,-0.8728084241667845,No,No phone service,Yes,No,No,No,Yes,Yes,No,Electronic check,-0.47361675749501453,-0.757938200162982,0,0,True,False,False,True,False,False
9191-MYQKX,Female,0,Yes,No,-1.0357842692720256,Yes,No,No,No,Yes,No,No,No,Yes,Bank transfer (automatic),0.3440981493964733,-0.7881374821490981,1,0,True,False,False,False,True,False
9919-YLNNG,Female,0,No,No,0.3902543753988342,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),1.2964368519347298,0.9018752216641471,0,0,True,False,False,False,True,False
0318-ZOPWS,Female,0,Yes,No,0.6754621043330061,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Bank transfer (automatic),-1.4841262359300234,-0.5779337144020558,0,0,False,False,True,False,False,True
4445-ZJNMU,Male,0,No,No,-0.9542963467194051,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Credit card (automatic),1.1468548567716528,-0.6020225499965326,0,1,True,False,False,False,True,False
4808-YNLEU,Female,0,Yes,No,0.10504664646466222,Yes,No,Yes,No,No,No,Yes,No,Yes,Bank transfer (automatic),-0.08802761440797156,-0.029934764000961456,0,0,False,True,False,True,False,False
1862-QRWPE,Female,0,Yes,Yes,0.6347181430566958,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Bank transfer (automatic),-1.4675060142452372,-0.5410283829464149,0,0,False,False,True,False,False,True
2796-NNUFI,Female,0,Yes,Yes,0.5532302205040753,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Mailed check,-1.4907743246039378,-0.5983386346629451,0,0,False,False,True,False,False,True
3016-KSVCP,Male,0,Yes,No,-0.13941712119319946,No,No phone service,No,No,No,No,Yes,No,No,Mailed check,-1.0320562061038352,-0.5620950844049546,0,1,True,False,False,True,False,False
4767-HZZHQ,Male,0,Yes,Yes,-0.09867315991688919,Yes,No,No,Yes,Yes,No,No,No,No,Bank transfer (automatic),0.5734572086465244,0.1265764892433733,0,1,True,False,False,False,True,False
2424-WVHPL,Male,1,No,No,-1.2802480369298874,Yes,No,No,No,No,Yes,No,No,No,Electronic check,0.32913994988016554,-0.9744068299144488,0,1,True,False,False,False,True,False
7233-PAHHL,Male,0,Yes,Yes,1.368109446030281,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Mailed check,0.6382760732171912,1.5136919388920012,0,1,False,False,True,True,False,False
6067-NGCEU,Female,0,No,No,1.3273654847539706,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Credit card (automatic),1.5374300663641316,2.128155780910457,0,0,True,False,False,False,True,False
9848-JQJTX,Male,0,No,No,1.6125732136881425,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Bank transfer (automatic),1.2000395661629695,2.283475827999021,0,1,False,False,True,False,True,False
8637-XJIVR,Female,0,No,No,-0.8320644628904743,Yes,Yes,Yes,No,No,No,No,No,Yes,Electronic check,0.47041183420084937,-0.59822833779667,1,0,True,False,False,False,True,False
9803-FTJCG,Male,0,Yes,Yes,1.5718292524118322,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Credit card (automatic),0.06820246942901982,1.0877033819643973,0,1,False,True,False,True,False,False
0278-YXOOG,Male,0,No,No,-1.1172721918246462,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,-1.4542098368974081,-0.9571343406557717,1,1,True,False,False,False,False,True
3212-KXOCR,Male,0,No,No,0.797693988161937,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Bank transfer (automatic),-1.4558718590658866,-0.5188807721983792,0,1,False,False,True,False,False,True
4598-XLKNJ,Female,1,Yes,No,-0.3023929662984406,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Electronic check,1.1202625020759949,0.10200234743728616,1,0,True,False,False,False,True,False
6380-ARCEH,Male,0,No,No,-1.2802480369298874,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,-1.4824642137615447,-0.9984515467624158,0,1,True,False,False,False,False,True
3679-XASPY,Female,0,Yes,Yes,-1.2802480369298874,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Electronic check,-1.5073945462887242,-0.998782437361241,0,0,True,False,False,False,False,True
7123-WQUHX,Male,0,No,No,0.22727853029359305,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Bank transfer (automatic),1.0039209502824906,0.5833819906082337,0,1,False,True,False,False,True,False
5386-THSLQ,Female,1,Yes,No,1.368109446030281,No,No phone service,No,Yes,Yes,No,Yes,No,No,Bank transfer (automatic),-0.6398189743428778,0.3282212201674698,0,0,False,True,False,True,False,False
3192-NQECA,Male,0,Yes,No,1.4495973685829016,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),1.5025276008260804,2.3508892726663486,1,1,False,False,True,False,True,False
6180-YBIQI,Male,0,No,No,-1.1172721918246462,No,No phone service,No,No,No,No,No,No,No,Mailed check,-1.346178395946297,-0.963156549554391,0,1,True,False,False,True,False,False
6728-DKUCO,Female,0,Yes,Yes,1.6125732136881425,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Electronic check,1.3080710071140806,2.214650583443373,0,0,False,True,False,False,True,False
9750-BOOHV,Female,0,No,No,-0.01718523736426863,No,No phone service,Yes,No,No,No,No,No,No,Mailed check,-1.1517218022342968,-0.5980959815571398,0,0,False,True,False,True,False,False
8597-CWYHH,Male,0,No,No,0.4309983366751445,Yes,Yes,No,No,No,No,Yes,Yes,No,Mailed check,0.9823146620922681,0.7226648733404015,0,1,False,True,False,False,True,False
2848-YXSMW,Male,0,Yes,Yes,1.6125732136881425,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Credit card (automatic),-1.509056568457203,-0.4059147217594451,0,1,False,False,True,False,False,True
0486-HECZI,Male,0,Yes,No,0.9199258719908678,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Electronic check,1.0620917261792426,1.303973477356569,1,1,True,False,False,False,True,False
4549-ZDQYY,Female,0,No,No,0.797693988161937,Yes,No,Yes,No,Yes,Yes,No,No,No,Credit card (automatic),-0.2276374765601766,0.3348390321439745,0,0,False,True,False,True,False,False
5712-AHQNN,Female,0,No,No,0.4309983366751445,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Electronic check,0.8925654649944222,0.7371358221956916,0,0,True,False,False,False,True,False
4846-WHAFZ,Female,1,Yes,No,0.18653456901728277,Yes,Yes,No,No,No,No,No,No,Yes,Electronic check,0.3889727479453962,0.25802829447001063,1,0,True,False,False,False,True,False
5256-SKJGO,Female,0,Yes,Yes,1.2866215234776603,No,No phone service,No,Yes,No,Yes,Yes,Yes,Yes,Electronic check,-0.33899296184824507,0.5030417532134674,0,0,False,False,True,True,False,False
3071-VBYPO,Male,0,Yes,Yes,-1.1987601143772668,Yes,No,Yes,Yes,No,No,Yes,No,No,Electronic check,0.8327326669291911,-0.897772567226525,0,1,True,False,False,False,True,False
9560-BBZXK,Female,0,No,No,0.1457906077409725,No,No phone service,Yes,No,No,No,No,No,No,Bank transfer (automatic),-1.1218054032016815,-0.5104320322417084,0,0,False,False,True,True,False,False
5299-RULOA,Female,0,Yes,Yes,-0.9135523854430948,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Electronic check,1.178433277972747,-0.5376532988383974,1,0,True,False,False,False,True,False
8402-OOOHJ,Female,0,No,No,0.3495104141225239,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,-1.4675060142452372,-0.6389058220789184,0,0,False,False,True,False,False,True
9445-ZUEQE,Male,0,Yes,Yes,-0.22090504374582004,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Credit card (automatic),0.6781646052606785,-0.05810458364761617,0,1,True,False,False,False,True,False
1091-SOZGA,Female,0,Yes,Yes,0.9606698332671781,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Credit card (automatic),1.1634750784564392,1.4259838708300596,0,0,False,True,False,False,True,False
2928-HLDBA,Female,0,No,No,-1.076528230548336,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,-1.4658439920767583,-0.957619646867382,0,0,True,False,False,False,False,True
0404-SWRVG,Male,0,No,No,-1.1987601143772668,Yes,Yes,No,No,No,No,No,No,Yes,Electronic check,0.3191678168692938,-0.9060889509436658,1,1,True,False,False,False,True,False
6497-TILVL,Female,0,Yes,Yes,-1.0357842692720256,Yes,No,Yes,No,No,No,No,No,No,Mailed check,-0.46863069098957844,-0.8527935051595485,0,0,True,False,False,True,False,False
7219-TLZHO,Female,0,Yes,Yes,-1.1580161531009565,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,-1.4608579255713225,-0.9796128420026324,0,0,True,False,False,False,False,True
4622-YNKIJ,Male,0,No,No,0.02355872391204165,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Electronic check,0.802816267896576,0.32839769515350997,0,1,False,False,True,False,True,False
4412-YLTKF,Female,1,No,No,-0.22090504374582004,Yes,Yes,No,No,Yes,No,No,No,Yes,Electronic check,0.44049543516823375,-0.06520770183573112,1,0,True,False,False,False,True,False
6734-PSBAW,Male,0,Yes,No,1.6125732136881425,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Bank transfer (automatic),-1.3711087284734764,-0.24677840309776344,0,1,False,False,True,False,False,True
3930-ZGWVE,Male,0,No,No,-1.2802480369298874,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,-1.4974224132778524,-0.9986500811217108,0,1,True,False,False,False,False,True
2639-UGMAZ,Male,1,No,No,1.5718292524118322,No,No phone service,Yes,Yes,No,No,Yes,Yes,Yes,Electronic check,-0.2774981416145356,0.7509229304800763,0,1,False,True,False,True,False,False
2876-GZYZC,Female,0,No,No,-0.791320501614164,Yes,Yes,No,No,No,No,No,Yes,Yes,Electronic check,0.703094937787858,-0.4710339916082507,0,0,True,False,False,False,True,False
6207-WIOLX,Female,0,Yes,Yes,-0.3023929662984406,No,No phone service,Yes,Yes,Yes,No,Yes,Yes,Yes,Credit card (automatic),-0.20603118836995443,-0.3444131891244619,1,0,True,False,False,True,False,False
8587-XYZSF,Male,0,No,No,1.4088534073065913,Yes,No,No,No,No,Yes,No,No,No,Bank transfer (automatic),-0.47361675749501453,0.43095172141607685,0,1,False,False,True,True,False,False
3091-FYHKI,Male,0,No,No,-1.2802480369298874,No,No phone service,No,No,No,No,No,Yes,Yes,Electronic check,-0.9755474523755615,-0.991723437919636,1,1,True,False,False,True,False,False
